front,back,tags,hint,key_terms
"What is the capital of France?","Paris","geography,europe","Think of the Eiffel Tower","capital,France,Paris"
"What is 2 + 2?","4","math,basic","Simple addition","addition,arithmetic"
"Who wrote Romeo and Juliet?","William Shakespeare","literature,drama","Famous English playwright","Shakespeare,playwright,drama"
"What is the chemical symbol for water?","H2O","chemistry,science","Two hydrogen, one oxygen","chemical,symbol,water,hydrogen,oxygen"
"In what year did World War II end?","1945","history,war","After the atomic bombs","World War,1945,history"
"What is the largest planet in our solar system?","Jupiter","astronomy,science","Gas giant","planet,Jupiter,solar system"
"What is the square root of 64?","8","math,algebra","8 × 8 = 64","square root,64,algebra"
"Who painted the Mona Lisa?","Leonardo da Vinci","art,renaissance","Italian Renaissance master","Leonardo,Mona Lisa,painting"
"What is the speed of light?","299,792,458 meters per second","physics,science","Approximately 300,000 km/s","speed of light,physics,constant"
"What is the smallest unit of matter?","Atom","chemistry,physics","Building block of elements","atom,matter,chemistry"
